regency_city,year,Tidak ada
Kabupaten Probolinggo,2024,38536.6
Kabupaten Pasuruan,2024,121689.1
Kabupaten Sidoarjo,2024,136721.1
Kabupaten Mojokerto,2024,98010.9
Kabupaten Jombang,2024,39553.1
Kabupaten Nganjuk,2024,32047.5
Kabupaten Madiun,2024,33712.4
Kabupaten Magetan,2024,35853.1
Kabupaten Ngawi,2024,29346.5
Kabupaten Bojonegoro,2024,76808.4
Kabupaten Tuban,2024,71099.1
Kabupaten Lamongan,2024,37787.6
Kabupaten Gresik,2024,138271.2
Kabupaten Bangkalan,2024,26066.4
Kabupaten Sampang,2024,24483.8
Kabupaten Pamekasan,2024,25423.6
Kabupaten Sumenep,2024,39215.0
Kota Kediri,2024,565840.5
Kota Blitar,2024,59326.4
Kota Malang,2024,114721.6
Kota Probolinggo,2024,61613.6
Kota Pasuruan,2024,51087.4
Kota Mojokerto,2024,62683.9
Kota Madiun,2024,92449.2
Kota Surabaya,2024,264371.9
Kota Batu,2024,99487.2
