regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi
Kabupaten Probolinggo,2024,,,,18.43,,,,3.0,38536.6,,70.85
Kabupaten Pasuruan,2020,1606000.0,,,20.57,80.03,97.21,,6.24,90746.9,1090.0,68.6
Kabupaten Pasuruan,2021,,159.78,9.7,21.2,82.92,97.36,,6.03,97170.8,,68.93
Kabupaten Pasuruan,2022,1619040.0,148.62,8.96,65.01,83.4,96.9,,5.91,105849.8,1084.0,69.68
Kabupaten Pasuruan,2023,,,,16.98,,,,5.48,113682.7,,70.29
Kabupaten Pasuruan,2024,,,,16.24,,,,5.02,121689.1,,72.36
Kabupaten Sidoarjo,2020,2082800.0000000002,,,40.99,95.52,99.06,,10.97,94817.6,3283.0,80.29
Kabupaten Sidoarjo,2021,,137.15,5.93,41.61,95.05,96.82,,10.87,100251.9,,80.65
Kabupaten Sidoarjo,2022,2103400.0,125.69,5.36,83.2,89.54,95.86,,8.8,115389.3,2905.0,81.02
Kabupaten Sidoarjo,2023,,,,37.67,,,,8.05,127381.7,,81.55
Kabupaten Sidoarjo,2024,,,,38.09,,,,6.49,136721.1,,82.67
Kabupaten Mojokerto,2020,1119200.0,,,14.3,91.02,99.2,,5.75,73335.5,1559.0,73.83
Kabupaten Mojokerto,2021,,120.54,10.62,14.37,87.34,98.37,,5.54,77339.7,,74.15
Kabupaten Mojokerto,2022,1133580.0,111.03,9.71,86.76,89.87,97.05,,4.83,84307.4,1151.0,74.89
Kabupaten Mojokerto,2023,,,,15.17,,,,4.67,91112.0,,75.53
Kabupaten Mojokerto,2024,,,,15.01,,,,3.87,98010.9,,76.69
Kabupaten Jombang,2020,1318100.0,,,23.57,88.98,99.37,,7.48,30303.4,1182.0,72.97
Kabupaten Jombang,2021,,127.3,10.0,23.61,90.95,99.44,,7.09,31448.7,,73.45
Kabupaten Jombang,2022,1335970.0,115.48,9.04,88.17,93.67,99.07,,5.47,34292.3,1204.0,74.05
Kabupaten Jombang,2023,,,,20.56,,,,4.66,36990.7,,74.6
Kabupaten Jombang,2024,,,,21.3,,,,3.75,39553.1,,75.67
Kabupaten Nganjuk,2020,1103900.0,,,15.21,85.75,99.45,,4.8,24134.3,902.0,71.72
